"plate_x","plate_z","pitch_name","description","stand","release_speed","release_spin_rate"
-0.29,3.28,"4-Seam Fastball","hit_into_play","R",96.1,2332
1.9,0.3,"Slider","ball","R",89.2,2617
0.17,2.12,"4-Seam Fastball","called_strike","R",96.9,2526
0.33,1.82,"Cutter","hit_into_play","R",91,2539
0.06,3.25,"4-Seam Fastball","swinging_strike","L",97.1,2475
0.2,1.86,"Knuckle Curve","foul","L",83.9,2875
0.55,2.42,"Cutter","foul","L",91.8,2472
-1.16,1.46,"Changeup","ball","L",89.7,1591
0.5,2.96,"4-Seam Fastball","foul","L",96.6,2479
-0.71,4.07,"4-Seam Fastball","ball","L",95.9,2468
-0.38,3.49,"4-Seam Fastball","foul","L",94.8,2279
-0.77,2.15,"Slider","called_strike","L",87,2566
-0.38,3.47,"4-Seam Fastball","hit_into_play","R",95.9,2372
0.55,1.59,"Slider","swinging_strike","R",89.7,2483
0.65,1.63,"Knuckle Curve","hit_into_play","R",82.3,2846
0.7,3.48,"4-Seam Fastball","ball","R",95.9,2333
-0.88,1.92,"Changeup","foul","R",87.7,1820
-0.2,2.42,"4-Seam Fastball","foul","R",94.3,2283
-0.3,2.78,"4-Seam Fastball","hit_into_play","R",96.5,2258
-0.29,2.02,"4-Seam Fastball","foul","R",95.5,2412
1.12,1.54,"4-Seam Fastball","ball","R",96.2,2522
1.18,2.06,"Slider","ball","R",86.4,2458
0.89,1.85,"Slider","called_strike","R",87.4,2428
0.43,2.58,"Knuckle Curve","called_strike","R",81.5,2851
-1.39,2.43,"4-Seam Fastball","ball","R",94.5,2439
0.12,3.62,"4-Seam Fastball","hit_into_play","L",95.3,2352
-0.7,1.97,"Knuckle Curve","called_strike","L",82,2871
-0.65,3.76,"4-Seam Fastball","ball","L",95.8,2383
-0.27,2.27,"4-Seam Fastball","called_strike","L",96.3,2337
-0.56,2.5,"Changeup","hit_into_play","L",86.1,1730
0.58,3.09,"4-Seam Fastball","foul","L",95.8,2359
1.05,1.83,"Knuckle Curve","ball","L",83.2,2929
-0.4,3.06,"4-Seam Fastball","hit_into_play","R",96.2,2357
0.34,2.88,"Cutter","called_strike","R",91.1,2530
1.07,1.28,"Knuckle Curve","hit_into_play","R",82.3,2879
1.9,0.18,"Knuckle Curve","ball","R",81.9,2800
-0.49,2.86,"4-Seam Fastball","called_strike","R",95.3,2351
-0.2,3.43,"Changeup","hit_into_play","R",87.8,1774
1.15,1.54,"Changeup","ball","R",88.3,1695
1.28,1.7,"Slider","ball","R",87.4,2660
0.86,3.2,"4-Seam Fastball","foul","R",96.3,2333
0.2,2.92,"Changeup","foul","R",86.9,1722
-0.51,2.27,"Knuckle Curve","hit_into_play","L",82,2797
0.54,2.6,"4-Seam Fastball","hit_into_play","R",96.7,2310
1.88,1.14,"Knuckle Curve","ball","R",82.3,2853
0.61,1.87,"Slider","swinging_strike","R",86.3,2598
0.85,2.23,"Cutter","called_strike","R",91.7,2533
1.17,2.48,"4-Seam Fastball","ball","R",95.1,2433
-0.02,2.43,"Slider","hit_into_play","R",87.6,2538
1.08,1.91,"Slider","ball","R",87.1,2546
0.81,2.11,"4-Seam Fastball","called_strike","R",94.9,2334
0.33,2.61,"4-Seam Fastball","hit_into_play","R",94.3,2343
-0.11,3.29,"Slider","ball","R",85.8,2534
0.45,1.7,"Knuckle Curve","called_strike","L",82.4,2816
1.01,3.44,"4-Seam Fastball","ball","L",95.8,2559
-1.15,3.15,"4-Seam Fastball","foul","L",95.1,2470
-0.64,3.18,"Changeup","foul","L",86,1604
1.03,1,"Knuckle Curve","ball","L",81.5,2733
0.46,2.76,"4-Seam Fastball","called_strike","L",94.4,2339
0.71,1.98,"4-Seam Fastball","called_strike","L",96.4,2505
0.26,2.36,"4-Seam Fastball","foul","L",96.8,2447
1.02,2.42,"4-Seam Fastball","ball","L",97.2,2416
0.18,2.97,"Cutter","foul","L",91.6,2564
-0.23,2.44,"Slider","called_strike","L",88.1,2582
0.6,4.18,"4-Seam Fastball","ball","L",95.2,2398
0.63,1.28,"Knuckle Curve","ball","L",80.5,2786
0.08,3.41,"4-Seam Fastball","hit_into_play","R",96.5,2415
0.95,1.15,"Knuckle Curve","ball","R",83.7,2871
0.48,3.16,"Cutter","foul","R",90.7,2468
1.58,-0.21,"Slider","ball","R",88.1,2580
0.88,2.21,"4-Seam Fastball","foul","R",96.2,2403
1.05,1.94,"Cutter","swinging_strike","R",90.7,2553
1.29,1.96,"Slider","ball","R",89.1,2630
-0.69,3.02,"Changeup","called_strike","R",87.3,1742
-0.26,2.8,"4-Seam Fastball","hit_into_play","R",95,2411
-0.53,3.4,"4-Seam Fastball","hit_into_play","R",95.3,2355
0.19,2.83,"Cutter","hit_into_play","L",91.7,2561
-1.82,4.21,"Changeup","ball","L",87,1785
0.5,2.17,"Slider","called_strike","L",89.5,2540
0.03,2.35,"Knuckle Curve","hit_into_play","R",81.1,2768
0.43,3.17,"Knuckle Curve","swinging_strike","R",83.2,2871
2.32,-0.27,"Slider","blocked_ball","R",89.9,2553
1.44,3.33,"4-Seam Fastball","ball","R",96.4,2441
0.62,3.35,"4-Seam Fastball","called_strike","R",95.9,2368
0.58,2.8,"4-Seam Fastball","called_strike","R",96,2320
-0.03,2.46,"Knuckle Curve","hit_into_play","R",82.5,2753
-1.53,3.43,"4-Seam Fastball","ball","R",96.5,2422
0.38,1.74,"Slider","called_strike","R",88.6,2499
-0.93,3.6,"4-Seam Fastball","ball","R",97.2,2412
-0.28,2.92,"Cutter","hit_into_play","L",92.5,2581
-0.32,1.95,"Knuckle Curve","called_strike","L",82.3,2838
-0.51,2.33,"4-Seam Fastball","hit_into_play","L",94.9,2343
0.68,4,"4-Seam Fastball","hit_into_play","R",96.4,2319
0.31,0.01,"Knuckle Curve","ball","R",81.8,2795
-0.61,3.3,"4-Seam Fastball","foul","R",96.3,2402
