,pitch_name
0,4-Seam Fastball
1,Split-Finger
2,Split-Finger
3,Curveball
4,Curveball
5,4-Seam Fastball
6,Cutter
7,Curveball
8,Curveball
9,Curveball
10,Split-Finger
11,4-Seam Fastball
12,Slider
13,Cutter
14,Slider
15,Split-Finger
16,Curveball
17,4-Seam Fastball
18,Cutter
19,Split-Finger
20,Cutter
21,Curveball
22,Split-Finger
23,Cutter
24,4-Seam Fastball
25,Split-Finger
26,4-Seam Fastball
27,Cutter
28,4-Seam Fastball
29,Split-Finger
30,4-Seam Fastball
31,Curveball
32,4-Seam Fastball
33,4-Seam Fastball
34,4-Seam Fastball
35,Cutter
36,Cutter
37,4-Seam Fastball
38,Split-Finger
39,Cutter
40,Split-Finger
41,Split-Finger
42,4-Seam Fastball
43,Split-Finger
44,Split-Finger
45,4-Seam Fastball
46,Cutter
47,Slider
48,Split-Finger
49,Split-Finger
50,Split-Finger
51,Curveball
52,Curveball
53,Cutter
54,Split-Finger
55,4-Seam Fastball
56,Split-Finger
57,Split-Finger
58,Curveball
59,4-Seam Fastball
60,Slider
61,Curveball
62,Curveball
63,Split-Finger
64,Split-Finger
65,4-Seam Fastball
66,Split-Finger
67,Curveball
68,4-Seam Fastball
69,Curveball
70,Split-Finger
71,4-Seam Fastball
72,Slider
73,Split-Finger
74,4-Seam Fastball
75,Cutter
76,Curveball
77,Split-Finger
78,4-Seam Fastball
79,Cutter
80,Curveball
81,4-Seam Fastball
82,Split-Finger
83,Curveball
84,4-Seam Fastball
85,Split-Finger
86,4-Seam Fastball
87,4-Seam Fastball
88,4-Seam Fastball
89,4-Seam Fastball
90,4-Seam Fastball
91,Curveball
92,Curveball
93,4-Seam Fastball
94,Split-Finger
95,Split-Finger
96,Split-Finger
97,4-Seam Fastball
98,Split-Finger
99,Curveball
100,4-Seam Fastball
101,4-Seam Fastball
102,Split-Finger
103,Curveball
104,Curveball
105,Slider
106,4-Seam Fastball
107,Curveball
108,Curveball
109,Cutter
110,4-Seam Fastball
111,Cutter
112,Split-Finger
113,Curveball
114,Curveball
115,4-Seam Fastball
116,Cutter
117,4-Seam Fastball
118,4-Seam Fastball
119,Curveball
120,4-Seam Fastball
121,4-Seam Fastball
122,Split-Finger
123,Split-Finger
124,4-Seam Fastball
125,Curveball
126,4-Seam Fastball
127,Split-Finger
128,Split-Finger
129,Split-Finger
130,Curveball
131,Split-Finger
132,Curveball
133,Cutter
134,Split-Finger
135,Split-Finger
136,Split-Finger
137,Curveball
138,4-Seam Fastball
139,Split-Finger
140,Curveball
141,Curveball
142,4-Seam Fastball
143,Cutter
144,4-Seam Fastball
145,Split-Finger
146,Curveball
147,Cutter
148,Split-Finger
149,4-Seam Fastball
150,4-Seam Fastball
151,Split-Finger
152,Cutter
153,Curveball
154,Split-Finger
155,Split-Finger
156,4-Seam Fastball
157,4-Seam Fastball
158,Split-Finger
159,Cutter
160,4-Seam Fastball
161,Curveball
162,4-Seam Fastball
163,Slider
164,Split-Finger
165,Curveball
166,Cutter
167,Split-Finger
168,4-Seam Fastball
169,Split-Finger
170,4-Seam Fastball
171,Curveball
172,4-Seam Fastball
173,Curveball
174,Split-Finger
175,Split-Finger
176,4-Seam Fastball
177,Curveball
178,Split-Finger
179,Curveball
180,4-Seam Fastball
181,4-Seam Fastball
182,Split-Finger
183,4-Seam Fastball
184,Curveball
185,4-Seam Fastball
186,Split-Finger
187,Split-Finger
188,Curveball
189,Split-Finger
190,4-Seam Fastball
191,4-Seam Fastball
192,Split-Finger
193,4-Seam Fastball
194,Cutter
195,Split-Finger
196,Curveball
197,Split-Finger
198,Split-Finger
199,4-Seam Fastball
200,Split-Finger
201,Split-Finger
202,Curveball
203,Split-Finger
204,Cutter
205,Cutter
206,Curveball
207,Cutter
208,4-Seam Fastball
209,4-Seam Fastball
210,Curveball
211,Cutter
212,Split-Finger
213,Curveball
214,Split-Finger
215,Cutter
216,Split-Finger
217,Split-Finger
218,Cutter
219,Split-Finger
220,Cutter
221,Split-Finger
222,4-Seam Fastball
223,Cutter
224,Split-Finger
225,Split-Finger
226,Curveball
227,Split-Finger
228,Slider
229,Curveball
230,4-Seam Fastball
231,Split-Finger
232,4-Seam Fastball
233,Cutter
234,Split-Finger
235,4-Seam Fastball
236,Split-Finger
237,Split-Finger
238,Split-Finger
239,Curveball
240,4-Seam Fastball
241,Cutter
242,Split-Finger
243,4-Seam Fastball
244,4-Seam Fastball
245,Split-Finger
