release_spin_rate,release_speed,balls,strikes,result_derived,stand,in_or_off_plate,num_on_base,outs_when_up
2118.0,96.0,2,0,out,R,inside,0,2
1687.0,90.8,1,0,ball,R,outside,0,2
1783.0,90.3,0,0,ball,R,outside,0,2
1826.0,78.2,0,2,out,R,outside,0,1
1938.0,77.0,0,1,foul,R,inside,0,1
2156.0,94.2,0,0,strike,R,inside,0,1
2292.0,92.3,0,1,out,L,inside,0,0
1936.0,76.1,0,0,foul,L,inside,0,0
1957.0,76.2,0,0,hit,R,inside,1,2
2024.0,77.7,2,2,out,R,inside,1,1
1595.0,89.4,2,1,strike,R,outside,1,1
2050.0,94.2,1,1,ball,R,outside,1,1
2099.0,88.0,0,1,ball,R,outside,1,1
2272.0,92.3,0,0,strike,R,inside,1,1
2086.0,87.7,2,0,hit,R,outside,0,1
1769.0,89.5,1,0,ball,R,outside,0,1
1975.0,78.4,0,0,ball,R,outside,0,1
2144.0,95.0,1,2,out,L,inside,0,0
2312.0,92.8,1,1,foul,L,outside,0,0
1730.0,89.5,1,0,strike,L,outside,0,0
2247.0,90.1,0,0,ball,L,outside,0,0
1870.0,78.4,1,1,out,L,inside,1,2
1588.0,89.1,1,0,strike,L,inside,1,2
2295.0,93.2,0,0,ball,L,outside,1,2
2171.0,96.6,1,2,out,R,outside,1,1
1648.0,88.8,1,1,foul,R,inside,1,1
2190.0,96.1,1,0,strike,R,inside,1,1
2301.0,93.9,0,0,ball,R,outside,1,1
2264.0,96.6,2,2,hit,R,outside,2,1
1640.0,89.7,1,2,ball,R,outside,2,1
2022.0,95.3,0,2,ball,R,outside,2,1
2157.0,78.9,0,1,strike,R,outside,2,1
2161.0,95.0,0,0,foul,R,inside,2,1
2234.0,96.4,1,1,out,R,inside,2,0
2126.0,94.1,0,1,ball,R,outside,2,0
2180.0,91.3,0,0,strike,R,inside,2,0
2092.0,91.8,3,2,hit,L,inside,2,0
2175.0,95.5,3,1,foul,L,inside,2,0
1779.0,89.4,2,1,ball,L,outside,2,0
2300.0,92.5,2,0,strike,L,inside,2,0
1724.0,88.5,1,0,ball,L,outside,2,0
1542.0,90.0,0,0,ball,L,outside,2,0
2192.0,94.3,0,0,hit,R,inside,1,0
1614.0,89.3,1,2,hit,R,outside,0,0
1618.0,87.8,1,1,strike,R,outside,0,0
2256.0,95.7,1,0,strike,R,inside,0,0
2254.0,92.5,0,0,ball,R,outside,0,0
2008.0,85.2,0,1,out,R,inside,1,2
1593.0,88.9,0,0,strike,R,inside,1,2
1915.0,88.1,0,1,out,L,inside,1,1
1613.0,87.9,0,0,strike,L,inside,1,1
1972.0,75.9,3,0,walk,L,outside,0,1
1947.0,78.0,2,0,ball,L,outside,0,1
2349.0,93.1,1,0,ball,L,outside,0,1
1686.0,90.7,0,0,ball,L,outside,0,1
2211.0,96.5,3,0,hit,R,inside,0,1
1905.0,89.7,2,0,ball,R,outside,0,1
1930.0,90.8,1,0,ball,R,outside,0,1
2082.0,78.2,0,0,ball,R,outside,0,1
2177.0,94.9,0,0,out,R,inside,0,0
2150.0,87.2,0,1,out,R,inside,0,2
2043.0,77.6,0,0,strike,R,inside,0,2
1958.0,78.7,1,2,out,L,inside,0,1
1516.0,91.0,0,2,ball,L,outside,0,1
1589.0,89.8,0,1,strike,L,inside,0,1
2284.0,95.3,0,0,foul,L,inside,0,1
1737.0,91.4,1,2,out,R,outside,0,0
2003.0,77.9,1,1,strike,R,outside,0,0
