,release_spin_rate,release_speed
0,2118,96.0
1,1687,90.8
2,1783,90.3
3,1826,78.2
4,1938,77.0
5,2156,94.2
6,2292,92.3
7,1936,76.1
8,1957,76.2
9,2024,77.7
10,1595,89.4
11,2050,94.2
12,2099,88.0
13,2272,92.3
14,2086,87.7
15,1769,89.5
16,1975,78.4
17,2144,95.0
18,2312,92.8
19,1730,89.5
20,2247,90.1
21,1870,78.4
22,1588,89.1
23,2295,93.2
24,2171,96.6
25,1648,88.8
26,2190,96.1
27,2301,93.9
28,2264,96.6
29,1640,89.7
30,2022,95.3
31,2157,78.9
32,2161,95.0
33,2234,96.4
34,2126,94.1
35,2180,91.3
36,2092,91.8
37,2175,95.5
38,1779,89.4
39,2300,92.5
40,1724,88.5
41,1542,90.0
42,2192,94.3
43,1614,89.3
44,1618,87.8
45,2256,95.7
46,2254,92.5
47,2008,85.2
48,1593,88.9
49,1915,88.1
50,1613,87.9
51,1972,75.9
52,1947,78.0
53,2349,93.1
54,1686,90.7
55,2211,96.5
56,1905,89.7
57,1930,90.8
58,2082,78.2
59,2177,94.9
60,2150,87.2
61,2043,77.6
62,1958,78.7
63,1516,91.0
64,1589,89.8
65,2284,95.3
66,1737,91.4
67,2003,77.9
68,2159,95.1
69,1954,77.6
70,1611,88.7
71,2267,95.2
72,2086,87.3
73,1637,87.6
74,2182,96.2
75,2302,91.9
76,2029,76.8
77,1628,88.5
78,2263,96.7
79,2216,92.3
80,1899,77.6
81,2229,96.5
82,1675,90.0
83,1860,77.2
84,2232,96.1
85,1807,90.6
86,2199,94.9
87,2166,94.3
88,2284,95.6
89,2292,95.2
90,2218,95.9
91,2070,77.4
92,1837,77.5
93,2199,94.5
94,1545,87.7
95,1573,88.4
96,1617,88.4
97,2231,96.0
98,1755,88.9
99,2027,78.2
100,2291,95.4
101,2247,95.5
102,1742,88.5
103,1952,76.0
104,1951,74.9
105,2233,84.9
106,2307,95.0
107,2021,77.4
108,2011,75.8
109,2391,91.1
110,2314,95.0
111,2383,91.6
112,1776,87.7
113,1944,75.6
114,2070,76.0
115,2168,93.9
116,2247,90.3
117,2318,96.0
118,2256,95.7
119,2066,78.1
120,2265,95.7
121,2236,95.0
122,1710,88.4
123,1645,89.1
124,2348,95.8
125,2065,78.2
126,2129,94.8
127,1661,88.7
128,1574,89.5
129,1797,90.2
130,2059,76.9
131,1786,88.0
132,1926,77.3
133,2242,91.9
134,1730,87.6
135,1730,87.0
136,1661,89.6
137,2049,78.8
138,2196,94.6
139,1641,88.6
140,2013,78.1
141,2108,77.8
142,2191,94.2
143,2391,91.6
144,2178,94.5
145,1562,87.7
146,1889,75.6
147,2294,91.0
148,1779,89.1
149,2204,95.5
150,2227,94.7
151,1663,88.5
152,2269,92.3
153,1998,76.3
154,1667,90.0
155,1811,88.5
156,2283,95.3
157,2241,95.3
158,1739,88.4
159,2382,92.4
160,2261,96.2
161,1972,78.5
162,2297,95.6
163,2030,87.4
164,1597,88.9
165,1896,78.1
166,2300,91.3
167,1617,87.6
168,2275,96.3
169,1847,89.8
170,2296,94.9
171,1972,77.9
172,2319,94.4
173,2031,78.9
174,1706,88.9
175,1868,89.1
176,2291,96.4
177,2049,77.4
178,1774,88.5
179,2043,78.7
180,2322,96.3
181,2265,95.8
182,1641,90.1
183,2270,97.3
184,2022,77.9
185,2209,96.7
186,1724,88.2
187,1627,89.8
188,1942,77.6
189,1752,90.2
190,2333,96.4
191,2333,97.2
192,1814,89.3
193,2326,96.8
194,2346,90.9
195,1747,89.4
196,1858,78.2
197,1774,90.0
198,1667,89.9
199,2302,95.7
200,1783,88.2
201,1597,90.6
202,2053,77.2
203,1579,89.3
204,2297,93.2
205,2220,92.2
206,2066,77.4
